no,,性別,年齡,目前婚姻狀態,進修博士時婚姻狀態,,決定進修博士時婚姻與子女狀態,入學年齡,畢業年齡,,,,是否曾休學,,學校類型,,博士與碩士學校是否相同,就讀科系,,博士與碩士學位相關度,,就學身分,就讀博士時是全職/在職學生,,,,,,,,,就讀博士的首要動機為?,,,,您對博士修業整體滿意度為?,,,,,目前就業情況為?,工作類型,此工作為?,,目前工作的機構別為?,,目前工作的職業別為?,,您對目前工作的滿意度為何?,您目前的工作與您當初獲得博士學位時原有規劃之職涯機構別與職業別是否符合?,,,,,整體而言，您認為您的博士學位效益如何?
3099,,1,4,2,1,,2,1,2,,,,2,,1,,1,22,,1,,1,2,,,,,,,,,4,,,,3,,,,,1,2,4,,6,,62, ,1,1,,,,,3
4223,,1,4,1,1,,2,2,3,,,,1,,3,,2,73,,3,,1,2,,,,,,,,,4,,,,3,,,,,1,2,3,,6,,62, ,2,1,,,,,2
2167,,1,3,1,1,,2,1,2,,,,2,,1,,1,14,,1,,1,2,,,,,,,,,4,,,,2,,,,,1,1,4,,6,,62, ,3,2,,,,,4
2227,,1,5,2,1,,2,1,2,,,,2,,1,,1,15,,1,,2,2,,,,,,,,,4,,,,1,,,,,1,2,3,,6,,61, ,1,1,,,,,1
3316,,1,4,2,1,,2,1,3,,,,1,,1,,2,62,,1,,1,2,,,,,,,,,4,,,,2,,,,,1,1,2,,6,,61, ,2,1,,,,,1
3303,,1,3,2,1,,2,1,1,,,,1,,2,,1,22,,1,,1,2,,,,,,,,,4,,,,2,,,,,1,1,4,,6,,61, ,2,2,,,,,3
4527,,1,6,2,2,,3,1,2,,,,1,,1,,1,22,,1,,1,2,,,,,,,,,4,,,,2,,,,,1,1,2,,6,,61, ,2,2,,,,,2
3287,,2,3,2,1,,2,1,2,,,,2,,1,,1,51,,1,,2,2,,,,,,,,,3,,,,2,,,,,1,1,4,,6,,63, ,2,1,,,,,2
1922,,2,4,1,1,,2,1,2,,,,2,,5,,1,42,,1,,1,2,,,,,,,,,3,,,,3,,,,,1,2,3,,6,,61, ,1,1,,,,,1
4161,,1,4,1,1,,2,1,3,,,,1,,1,,2,50,,1,,2,2,,,,,,,,,2,,,,5,,,,,1,2,3,,6,,62, ,3,2,,,,,5
4530,,1,4,2,1,,2,1,2,,,,2,,1,,1,16,,1,,2,2,,,,,,,,,2,,,,2,,,,,1,1,4,,6,,62, ,2,1,,,,,2
2322,,2,2,1,1,,2,1,2,,,,2,,1,,1,16,,1,,1,2,,,,,,,,,1,,,,2,,,,,1,1,4,,6,,63, ,2,2,,,,,3
3535,,1,3,2,1,,2,1,2,,,,1,,1,,1,39,,1,,1,2,,,,,,,,,1,,,,3,,,,,1,1,4,,6,,63, ,5,2,,,,,5
1187,,1,4,1,1,,2,1,2,,,,2,,1,,1,51,,1,,2,2,,,,,,,,,1,,,,5,,,,,1,2,4,,6,,62, ,4,1,,,,,4
1250,,1,5,2,1,,2,1,2,,,,2,,4,,1,15,,1,,2,2,,,,,,,,,1,,,,2,,,,,1,2,4,,6,,62, ,2,1,,,,,2
2670,,1,5,2,1,,2,1,3,,,,1,,1,,1,50,,1,,1,2,,,,,,,,,1,,,,4,,,,,1,1,4,,6,,62, ,4,2,,,,,4
3060,,2,3,2,1,,2,1,2,,,,2,,1,,1,40,,1,,2,2,,,,,,,,,1,,,,5,,,,,1,1,4,,6,,62, ,4,1,,,,,5
3618,,2,5,1,1,,2,1,2,,,,2,,1,,1,40,,1,,2,2,,,,,,,,,1,,,,2,,,,,1,2,4,,6,,62, ,1,2,,,,,1
2947,,1,3,2,1,,2,1,2,,,,1,,1,,1,62,,1,,1,2,,,,,,,,,1,,,,2,,,,,1,2,3,,6,,62, ,1,1,,,,,4
2395,,2,4,2,2,,3,2,2,,,,2,,1,,1,60,,1,,2,2,,,,,,,,,1,,,,3,,,,,1,2,3,,6,,62, ,2,1,,,,,2
2590,,1,4,2,2,,3,1,3,,,,2,,1,,1,11,,1,,2,2,,,,,,,,,1,,,,2,,,,,1,1,4,,6,,62, ,2,1,,,,,2
1711,,1,4,2,1,,2,1,2,,,,1,,1,,1,15,,1,,2,2,,,,,,,,,1,,,,4,,,,,1,2,3,,6,,62, ,2,1,,,,,2
832,,1,3,2,1,,2,1,2,,,,2,,7,,1,11,,1,,1,2,,,,,,,,,1,,,,1,,,,,1,2,3,,6,,62, ,2,1,,,,,2
1353,,1,2,2,1,,2,1,1,,,,2,,1,,2,50,,1,,1,2,,,,,,,,,1,,,,2,,,,,1,1,1,,6,,62, ,2,2,,,,,3
458,,1,2,1,1,,2,1,2,,,,2,,1,,2,15,,1,,2,2,,,,,,,,,1,,,,2,,,,,1,2,4,,6,,62, ,3,1,,,,,4
3215,,1,3,2,1,,2,1,2,,,,2,,1,,2,70,,1,,1,2,,,,,,,,,1,,,,3,,,,,1,1,4,,6,,62, ,3,1,,,,,3
377,,2,3,2,1,,2,1,2,,,,1,,1,,1,15,,1,,1,2,,,,,,,,,1,,,,4,,,,,1,2,2,,6,,62, ,2,1,,,,,2
4658,,1,4,1,1,,2,1,2,,,,2,,1,,1,16,,1,,2,2,,,,,,,,,1,,,,3,,,,,1,1,4,,6,,62, ,2,2,,,,,2
3082,,1,3,2,1,,2,1,1,,,,2,,1,,2,71,,2,,1,2,,,,,,,,,1,,,,2,,,,,1,2,4,,6,,61, ,2,2,,,,,2
2312,,1,5,2,1,,2,1,3,,,,1,,1,,2,40,,2,,2,2,,,,,,,,,8,,,,3,,,,,1,1,4,,5,,52, ,5,2,,,,,4
3864,,1,5,2,1,,2,1,2,,,,1,,1,,2,40,,2,,2,2,,,,,,,,,8,,,,5,,,,,1,1,4,,5,,52, ,5,2,,,,,5
2022,,2,4,2,1,,2,1,2,,,,2,,1,,1,10,,1,,1,2,,,,,,,,,8,,,,1,,,,,1,1,4,,5,,52, ,1,1,,,,,2
4433,,1,3,2,1,,2,1,2,,,,2,,1,,1,51,,1,,1,2,,,,,,,,,7,,,,2,,,,,1,2,4,,5,,52, ,2,2,,,,,2
3293,,2,5,2,2,,4,2,2,,,,2,,7,,1,41,,1,,1,2,,,,,,,,,7,,,,1,,,,,1,1,3,,5,,51, ,2,1,,,,,2
4798,,1,3,1,1,,2,1,2,,,,2,,1,,1,15,,1,,1,2,,,,,,,,,7,,,,1,,,,,1,2,4,,5,,51, ,4,2,,,,,3
3990,,1,4,2,1,,2,1,2,,,,2,,1,,1,29,,1,,1,2,,,,,,,,,5,,,,2,,,,,1,1,4,,5,,54, ,1,1,,,,,1
484,,1,4,2,1,,2,1,2,,,,2,,1,,2,15,,1,,2,2,,,,,,,,,5,,,,3,,,,,1,2,4,,5,,52, ,3,2,,,,,4
1859,,2,4,2,1,,2,1,2,,,,2,,1,,1,20,,1,,1,2,,,,,,,,,5,,,,2,,,,,1,1,4,,5,,51, ,2,2,,,,,3
2749,,2,4,2,2,,3,2,3,,,,2,,7,,1,41,,1,,2,2,,,,,,,,,4,,,,3,,,,,1,1,3,,5,,52, ,3,2,,,,,2
3749,,2,5,2,2,,4,2,3,,,,2,,1,,2,15,,1,,2,2,,,,,,,,,4,,,,2,,,,,1,2,4,,5,,52, ,2,1,,,,,2
3268,,2,4,1,1,,2,1,2,,,,2,,7,,2,15,,2,,1,2,,,,,,,,,4,,,,2,,,,,1,1,4,,5,,52, ,3,1,,,,,2
729,,2,4,1,1,,2,1,2,,,,2,,1,,1,40,,1,,1,2,,,,,,,,,4,,,,2,,,,,1,1,4,,5,,52, ,3,1,,,,,2
113,,1,4,2,1,,2,1,2,,,,2,,1,,1,15,,1,,1,2,,,,,,,,,4,,,,3,,,,,1,1,4,,5,,52, ,2,2,,,,,5
2679,,1,4,2,1,,2,1,2,,,,2,,5,,1,15,,1,,2,2,,,,,,,,,4,,,,2,,,,,1,1,4,,5,,52, ,4,2,,,,,5
3207,,1,4,2,1,,2,1,2,,,,2,,5,,1,40,,1,,1,2,,,,,,,,,4,,,,3,,,,,1,1,4,,5,,52, ,4,2,,,,,4
2765,,1,3,1,1,,2,1,1,,,,2,,5,,1,46,,1,,2,2,,,,,,,,,4,,,,2,,,,,1,2,4,,5,,52, ,2,1,,,,,2
4867,,1,3,1,1,,2,1,1,,,,2,,5,,1,46,,1,,1,2,,,,,,,,,4,,,,2,,,,,1,1,4,,5,,52, ,2,1,,,,,2
3395,,2,5,1,1,,2,4,5,,,,2,,1,,2,73,,1,,2,2,,,,,,,,,4,,,,2,,,,,1,2,4,,5,,52, ,3,1,,,,,2
1931,,1,3,1,1,,2,1,1,,,,2,,1,,1,40,,1,,1,2,,,,,,,,,4,,,,3,,,,,1,1,4,,5,,52, ,2,1,,,,,1
651,,1,5,2,1,,2,2,3,,,,2,,5,,1,41,,1,,2,2,,,,,,,,,4,,,,2,,,,,1,1,4,,5,,52, ,2,1,,,,,2
1656,,1,5,2,1,,2,1,2,,,,2,,5,,1,28,,1,,2,2,,,,,,,,,4,,,,1,,,,,1,2,4,,5,,52, ,1,2,,,,,2
